Distance,Distance,Distance,Distance,Distance,Distance,Distance,Distance,Distance,Distance,Distance,Distance,Distance,Distance,Distance,Distance,Distance,Distance,Distance,Distance,Distance,Distance,Distance,Distance,Distance,Distance,Distance,Distance,Distance,Distance,Distance,Country,Country,Country,Country,Country,Country,Country,Country,Country,Country,Country,Country,Country,Country,Country,Country,Country,Country,Country,Country,Country,Country,Country,Country,Country,Country,Country,Country,Country,Country,Country,Country_Score,Country_Score,Country_Score,Country_Score,Country_Score,Country_Score,Country_Score,Country_Score,Country_Score,Country_Score,Country_Score,Country_Score,Country_Score,Country_Score,Country_Score,Country_Score,Country_Score,Country_Score,Country_Score,Country_Score,Country_Score,Country_Score,Country_Score,Country_Score,Country_Score,Country_Score,Country_Score,Country_Score,Country_Score,Country_Score,Country_Score
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
211.0223951,246.5664885,389.3374704,398.5311195,478.0379655,529.1984475,599.2746919,695.0428018,713.1367443,721.4786922,728.1911807,759.0588781,796.9026409,820.3634169,832.739418,1018.266934,1229.974862,1254.863374,1260.064912,1266.805091,1382.763789,1406.980207,1491.42932,1499.9165,1506.238215,1525.403095,1566.762249,1791.776624,1799.482472,1813.805378,2496.374611,CHE,LUX,BEL,AUT,CZE,SVN,FRA,HRV,SVK,ITA,GBR,HUN,POL,DNK,BIH,SRB,LTU,ROU,SWE,IRL,LVA,BGR,MLT,NOR,ESP,EST,GRC,FIN,NLD,PRT,CYP,76.0,76.0,78.0,61.0,64.0,66.0,84.0,60.0,53.0,67.0,89.0,43.0,16.0,83.0,48.0,60.0,62.0,59.0,94.0,63.5,56.0,66.0,0.0,81.0,71.0,65.0,68.0,82.0,85.0,67.0,59.0
241.1916125,287.9376528,344.5907553,355.8415997,436.0243067,512.9640086,544.2348471,574.082345,576.3939311,625.0118262,646.8417771,701.7551372,735.4927654,828.9859377,883.4321449,917.4102986,1070.006252,1155.672667,1217.249591,1283.858924,1322.420311,1377.765504,1388.410206,1455.071913,1481.571049,1576.522658,1611.834327,1780.760804,1943.182109,1965.133497,2307.947835,AUT,CHE,SVN,CZE,LUX,HRV,SVK,HUN,BEL,ITA,BIH,POL,FRA,SRB,DNK,GBR,ROU,LTU,BGR,SWE,LVA,MLT,GRC,IRL,EST,NOR,ESP,FIN,PRT,NLD,CYP,61.0,76.0,66.0,64.0,76.0,60.0,53.0,43.0,78.0,67.0,48.0,16.0,84.0,60.0,83.0,89.0,59.0,62.0,66.0,94.0,56.0,0.0,68.0,63.5,65.0,81.0,71.0,82.0,67.0,85.0,59.0
344.0309947,406.9351231,429.169026,565.2874519,584.1622764,590.6243086,640.9611723,710.7800445,713.2669578,729.8394138,747.6176531,784.8700029,852.4729402,884.0851201,929.4921869,957.7276694,1017.822794,1027.393894,1065.763522,1095.844303,1117.787477,1143.779239,1288.084853,1393.625389,1400.029507,1693.381021,1846.229008,1912.834345,1991.330271,2275.160555,2501.197842,CZE,POL,DNK,AUT,SVK,LUX,BEL,SVN,CHE,HUN,LTU,SWE,HRV,LVA,GBR,BIH,EST,FRA,SRB,ITA,NOR,ROU,FIN,BGR,IRL,GRC,MLT,NLD,ESP,PRT,CYP,64.0,16.0,83.0,61.0,53.0,76.0,78.0,66.0,76.0,43.0,62.0,94.0,60.0,56.0,89.0,48.0,65.0,84.0,60.0,67.0,81.0,59.0,82.0,66.0,63.5,68.0,0.0,85.0,71.0,67.0,59.0
342.2812511,426.3231317,434.4057997,555.6154331,565.6103752,590.1264851,616.8886771,690.671939,702.5687932,732.3728065,772.5150716,801.4711604,846.8789721,907.766254,908.8705678,954.6439371,1003.478003,1041.85238,1067.141937,1081.229104,1125.902444,1153.402347,1309.525238,1381.766697,1399.432403,1693.114181,1834.561694,1891.81187,1966.770526,2250.196343,2508.097487,CZE,POL,DNK,AUT,LUX,SVK,BEL,CHE,SVN,HUN,LTU,SWE,HRV,GBR,LVA,BIH,FRA,EST,SRB,ITA,NOR,ROU,FIN,IRL,BGR,GRC,MLT,NLD,ESP,PRT,CYP,64.0,16.0,83.0,61.0,76.0,53.0,78.0,76.0,66.0,43.0,62.0,94.0,60.0,89.0,56.0,48.0,84.0,65.0,60.0,67.0,81.0,59.0,82.0,63.5,66.0,68.0,0.0,85.0,71.0,67.0,59.0
366.8234477,395.9142921,412.6173602,588.8238703,631.4616129,669.1602578,706.797959,724.6114386,836.6002028,861.461458,862.2464412,885.6454585,986.5550253,1000.893365,1026.392395,1045.853675,1087.201326,1106.274232,1171.216454,1176.007497,1203.459182,1311.714234,1400.510946,1435.208403,1617.933842,1665.058457,1820.243593,1920.935121,1956.462029,2062.278709,2776.979586,DNK,BEL,LUX,CZE,GBR,CHE,POL,AUT,SWE,FRA,SVK,SVN,HUN,LTU,NOR,HRV,IRL,LVA,BIH,ITA,EST,SRB,FIN,ROU,NLD,BGR,ESP,GRC,MLT,PRT,CYP,83.0,78.0,76.0,64.0,89.0,76.0,16.0,61.0,94.0,84.0,53.0,66.0,43.0,62.0,81.0,60.0,63.5,56.0,48.0,67.0,65.0,60.0,82.0,59.0,85.0,66.0,71.0,68.0,0.0,67.0,59.0
296.0150905,490.0694341,498.3003823,563.6947893,637.5409131,720.5745321,731.995725,732.1040881,752.5697537,826.9828308,892.0723559,909.1304328,946.3791055,962.390675,975.5120286,1011.845843,1047.283784,1108.883583,1159.606899,1166.548544,1212.50576,1294.522892,1311.606435,1393.644814,1636.124661,1706.576158,1910.220431,1912.86825,1989.183514,2156.236436,2746.84697,DNK,BEL,LUX,CZE,POL,GBR,CHE,AUT,SWE,SVK,SVN,LTU,FRA,HUN,NOR,LVA,HRV,EST,IRL,BIH,ITA,SRB,FIN,ROU,BGR,NLD,ESP,GRC,MLT,PRT,CYP,83.0,78.0,76.0,64.0,16.0,89.0,76.0,61.0,94.0,53.0,66.0,62.0,84.0,43.0,81.0,56.0,60.0,65.0,63.5,48.0,67.0,60.0,82.0,59.0,66.0,85.0,71.0,68.0,0.0,67.0,59.0
155.6937044,266.0902171,337.7583116,520.0650254,521.7512404,608.3165603,612.018193,666.1733047,691.1886381,787.6270873,792.7969034,832.960273,861.0318858,875.4536958,969.7027058,1140.988187,1144.72157,1148.585439,1192.410878,1330.74051,1350.901155,1357.481462,1458.123936,1527.153703,1550.421035,1650.8244,1662.454787,1697.971302,1711.829542,1830.510816,2626.810889,LUX,BEL,CHE,AUT,CZE,GBR,FRA,SVN,DNK,SVK,POL,HRV,HUN,ITA,BIH,IRL,SRB,SWE,LTU,LVA,ROU,NOR,EST,BGR,ESP,MLT,NLD,FIN,GRC,PRT,CYP,76.0,78.0,76.0,61.0,64.0,89.0,84.0,66.0,83.0,53.0,16.0,60.0,43.0,67.0,48.0,63.5,60.0,94.0,62.0,56.0,59.0,81.0,65.0,66.0,71.0,0.0,85.0,82.0,68.0,67.0,59.0
384.4417109,404.4519851,423.5040075,493.786331,601.0899625,628.2066409,642.814759,682.1708598,769.4099469,786.478734,840.9314821,875.412489,889.7650384,946.5415878,973.7425233,1071.273048,1088.410773,1093.340119,1103.609703,1161.892039,1205.24296,1212.687443,1343.926991,1427.981039,1568.582807,1669.362992,1802.430733,1821.229088,1865.414765,2062.250155,2680.194864,LUX,BEL,DNK,CZE,CHE,AUT,POL,GBR,SVK,SVN,FRA,SWE,HUN,HRV,LTU,BIH,ITA,LVA,NOR,IRL,EST,SRB,ROU,FIN,BGR,NLD,ESP,GRC,MLT,PRT,CYP,76.0,78.0,83.0,64.0,76.0,61.0,16.0,89.0,53.0,66.0,84.0,94.0,43.0,60.0,62.0,48.0,67.0,56.0,81.0,63.5,65.0,60.0,59.0,82.0,66.0,85.0,71.0,68.0,0.0,67.0,59.0
281.3128965,512.5597726,551.2521821,563.317456,571.1722602,703.831636,708.2272655,762.9028463,765.457622,813.6524523,817.8370525,864.5125333,906.5731295,925.2362981,975.1090146,1011.131339,1013.737576,1029.599807,1126.395791,1213.24089,1242.654845,1250.19811,1251.514027,1322.05172,1573.544358,1797.377814,1867.185787,1979.225625,1982.305534,2235.227701,2681.781627,DNK,CZE,POL,LUX,BEL,SWE,AUT,SVK,CHE,GBR,LTU,SVN,HUN,LVA,NOR,FRA,HRV,EST,BIH,ITA,SRB,FIN,IRL,ROU,BGR,NLD,GRC,ESP,MLT,PRT,CYP,83.0,64.0,16.0,76.0,78.0,94.0,61.0,53.0,76.0,89.0,62.0,66.0,43.0,56.0,81.0,84.0,60.0,65.0,48.0,67.0,60.0,82.0,63.5,59.0,66.0,85.0,68.0,71.0,0.0,67.0,59.0
167.2767366,170.0665868,473.5498098,479.4870201,606.0998544,633.2351367,636.2767912,672.638914,825.9476425,855.6257851,912.8489011,992.2242336,998.3984482,1002.191896,1030.368804,1081.366425,1128.648379,1212.42959,1239.504887,1298.139795,1332.964094,1441.385289,1484.584259,1519.627737,1576.812958,1646.961308,1675.735778,1807.288567,1824.882832,1873.069238,2780.282735,BEL,LUX,CHE,GBR,DNK,FRA,CZE,AUT,SVN,POL,SVK,HRV,IRL,HUN,ITA,SWE,BIH,LTU,NOR,SRB,LVA,EST,ROU,NLD,ESP,FIN,BGR,MLT,PRT,GRC,CYP,78.0,76.0,76.0,89.0,83.0,84.0,64.0,61.0,66.0,16.0,53.0,60.0,63.5,43.0,67.0,94.0,48.0,62.0,81.0,60.0,56.0,65.0,59.0,85.0,71.0,82.0,66.0,0.0,67.0,68.0,59.0
155.8361781,270.4087293,328.8186963,513.787572,519.992862,608.3168154,613.0584102,659.1321957,699.5627279,784.5634038,794.329055,825.9075945,856.3569891,866.4735605,962.7965892,1138.588299,1146.489182,1156.232334,1196.172742,1335.357363,1346.817161,1366.495048,1463.602447,1521.533197,1545.433541,1641.555827,1669.311487,1704.400372,1704.860057,1827.019024,2620.571433,LUX,BEL,CHE,AUT,CZE,FRA,GBR,SVN,DNK,SVK,POL,HRV,HUN,ITA,BIH,SRB,IRL,SWE,LTU,LVA,ROU,NOR,EST,BGR,ESP,MLT,NLD,GRC,FIN,PRT,CYP,76.0,78.0,76.0,61.0,64.0,84.0,89.0,66.0,83.0,53.0,16.0,60.0,43.0,67.0,48.0,60.0,63.5,94.0,62.0,56.0,59.0,81.0,65.0,66.0,71.0,0.0,85.0,68.0,82.0,67.0,59.0
86.75457638,232.9904814,259.0216358,506.511183,558.5673241,564.5239937,618.8716732,692.4615104,805.6224516,831.2602802,856.1481818,870.4214847,909.9059042,923.6288202,995.6684497,1103.954619,1183.690004,1270.382684,1319.894099,1418.979917,1422.97838,1457.382433,1459.986196,1572.944066,1587.783183,1597.57804,1676.22125,1704.465173,1722.832991,1824.283349,2660.488118,LUX,BEL,CHE,FRA,AUT,GBR,CZE,SVN,DNK,ITA,HRV,SVK,POL,HUN,BIH,IRL,SRB,SWE,LTU,ROU,ESP,NOR,LVA,BGR,EST,MLT,NLD,PRT,GRC,FIN,CYP,76.0,78.0,76.0,84.0,61.0,89.0,64.0,66.0,83.0,67.0,60.0,53.0,16.0,43.0,48.0,63.5,60.0,94.0,62.0,59.0,71.0,81.0,56.0,66.0,65.0,0.0,85.0,67.0,68.0,82.0,59.0
201.6354064,409.6655764,409.9732993,460.8638554,546.9322909,557.1714233,589.8747995,590.1505402,603.1925929,642.7541214,691.3813647,799.5285782,819.3178793,919.0197956,940.8542569,942.1941321,963.8558788,967.8322235,975.7201109,1033.559826,1127.304968,1263.214944,1279.552624,1422.991891,1465.487997,1541.648168,1682.315246,1913.526623,1957.673476,2218.382273,2373.537081,CZE,POL,AUT,SVK,SVN,LUX,DNK,HUN,CHE,BEL,HRV,BIH,LTU,SRB,SWE,ITA,GBR,FRA,LVA,ROU,EST,BGR,NOR,FIN,IRL,GRC,MLT,ESP,NLD,PRT,CYP,64.0,16.0,61.0,53.0,66.0,76.0,83.0,43.0,76.0,78.0,60.0,48.0,62.0,60.0,94.0,67.0,89.0,84.0,56.0,59.0,65.0,66.0,81.0,82.0,63.5,68.0,0.0,71.0,85.0,67.0,59.0
377.4515497,444.4405343,466.8055455,515.4804508,518.7108064,550.9406985,617.2415768,646.2444636,703.7215449,775.10459,810.341897,853.9973931,857.4747993,871.3264386,912.7002576,974.6967004,1003.62051,1049.325734,1103.731495,1130.318867,1139.642199,1218.311873,1293.710999,1382.635199,1450.763379,1721.352258,1797.232273,1814.991293,1874.777162,2152.434928,2561.851233,CZE,DNK,LUX,BEL,POL,AUT,CHE,SVK,SVN,HUN,GBR,SWE,HRV,LTU,FRA,BIH,LVA,ITA,SRB,EST,NOR,ROU,IRL,FIN,BGR,GRC,NLD,MLT,ESP,PRT,CYP,64.0,83.0,76.0,78.0,16.0,61.0,76.0,53.0,66.0,43.0,89.0,94.0,60.0,62.0,84.0,48.0,56.0,67.0,60.0,65.0,81.0,59.0,63.5,82.0,66.0,68.0,85.0,0.0,71.0,67.0,59.0
215.7732678,554.442341,576.0861985,622.2519162,651.9086012,675.59779,754.8669575,805.6802607,817.789334,875.4628549,877.382608,891.8271063,966.0922372,966.6828228,1017.816851,1018.299765,1051.816396,1118.277529,1163.531595,1234.236171,1238.36101,1295.267442,1354.309707,1434.102509,1686.535919,1747.58758,1977.082741,1981.068311,2071.653123,2218.113105,2795.075788,DNK,BEL,LUX,CZE,POL,SWE,GBR,AUT,CHE,SVK,LTU,NOR,SVN,LVA,FRA,HUN,EST,HRV,IRL,BIH,FIN,ITA,SRB,ROU,BGR,NLD,GRC,ESP,MLT,PRT,CYP,83.0,78.0,76.0,64.0,16.0,94.0,89.0,61.0,76.0,53.0,62.0,81.0,66.0,56.0,84.0,43.0,65.0,60.0,63.5,48.0,82.0,67.0,60.0,59.0,66.0,85.0,68.0,71.0,0.0,67.0,59.0
344.7191155,372.5126782,453.2806449,458.2021647,484.3873154,568.8606532,580.2591772,608.4764665,622.6142713,728.1404446,769.6986346,777.6013388,809.2735037,894.8313371,926.9301118,974.5994708,987.9614985,1042.277413,1117.445015,1197.568795,1252.687396,1261.504011,1288.266111,1406.474626,1514.432122,1645.659722,1695.256268,1759.928537,1780.840907,2049.181619,2516.384051,CZE,LUX,BEL,AUT,CHE,DNK,POL,SVN,SVK,HUN,HRV,GBR,FRA,BIH,ITA,LTU,SWE,SRB,LVA,ROU,EST,NOR,IRL,BGR,FIN,GRC,MLT,ESP,NLD,PRT,CYP,64.0,76.0,78.0,61.0,76.0,83.0,16.0,66.0,53.0,43.0,60.0,89.0,84.0,48.0,67.0,62.0,94.0,60.0,56.0,59.0,65.0,81.0,63.5,66.0,82.0,68.0,0.0,71.0,85.0,67.0,59.0
